Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,18,1.75,0.2,0.5416978420015065
100% Corpus,18,1.75,0.5,0.5028150235751303
100% Corpus,18,1.75,0.7,0.47988156364053214
100% Corpus,18,1.75,0.9,0.44847060278861384
100% Corpus,18,1.75,1.5,0.38454482152396463
100% Corpus,18,1.75,auto,0.5196333645511806
100% Corpus,18,auto,0.15,0.43468487802639816
100% Corpus,18,auto,0.2,0.4529654014706378
100% Corpus,18,auto,0.5,0.5007023241101871
100% Corpus,18,auto,0.7,0.47912288378964846
100% Corpus,18,auto,0.9,0.48476525487475874
100% Corpus,18,auto,1.5,
100% Corpus,18,auto,auto,0.4010216883623158
100% Corpus,20,0.15,0.15,0.4452370409064068
100% Corpus,20,0.15,0.2,0.4572823961774099
100% Corpus,20,0.15,0.5,0.47394481885790735
100% Corpus,20,0.15,0.7,0.5129752885201072
100% Corpus,20,0.15,0.9,0.5555073945735228
100% Corpus,20,0.15,1.5,0.5454329330568799
100% Corpus,20,0.15,auto,0.43238680495405857
100% Corpus,20,0.2,0.15,0.46763949977185765
100% Corpus,20,0.2,0.2,0.4665904032539482
100% Corpus,20,0.2,0.5,0.4801350187522021
100% Corpus,20,0.2,0.7,0.5099123747232083
100% Corpus,20,0.2,0.9,0.5653192786970107
100% Corpus,20,0.2,1.5,0.5692962952488835
100% Corpus,20,0.2,auto,0.433876506983519
100% Corpus,20,0.5,0.15,0.4711337743561675
100% Corpus,20,0.5,0.2,0.4764340812496495
100% Corpus,20,0.5,0.5,0.5027282518164834
100% Corpus,20,0.5,0.7,0.43251014372858815
100% Corpus,20,0.5,0.9,0.5311083233573202
100% Corpus,20,0.5,1.5,0.5457901812963961
100% Corpus,20,0.5,auto,0.46545922208475704
100% Corpus,20,0.6,0.15,0.4929464178848796
100% Corpus,20,0.6,0.2,0.4899983316133857
100% Corpus,20,0.6,0.5,0.5154969525855903
100% Corpus,20,0.6,0.7,0.5027543954034704
100% Corpus,20,0.6,0.9,0.5561388356313277
100% Corpus,20,0.6,1.5,0.6623742281388074
100% Corpus,20,0.6,auto,0.49362864359499703
100% Corpus,20,0.7,0.15,0.5269286083864116
100% Corpus,20,0.7,0.2,0.5213018031948962
100% Corpus,20,0.7,0.5,0.5072909501273734
100% Corpus,20,0.7,0.7,0.5014510635755703
100% Corpus,20,0.7,0.9,0.618639539369401
100% Corpus,20,0.7,1.5,0.5718481606988381
100% Corpus,20,0.7,auto,0.501365030766951
100% Corpus,20,0.9,0.15,0.5034957225949941
100% Corpus,20,0.9,0.2,0.5088282742710402
100% Corpus,20,0.9,0.5,0.5750099024702906
100% Corpus,20,0.9,0.7,0.6062358114678069
100% Corpus,20,0.9,0.9,0.6461183654588929
100% Corpus,20,0.9,1.5,0.48739353087961296
100% Corpus,20,0.9,auto,0.5013633501343155
100% Corpus,20,1.5,0.15,0.5202109260042501
100% Corpus,20,1.5,0.2,0.5092410746218519
100% Corpus,20,1.5,0.5,0.48834773582135965
100% Corpus,20,1.5,0.7,0.511446939533592
100% Corpus,20,1.5,0.9,0.4692090695700676
100% Corpus,20,1.5,1.5,0.35944964407824753
100% Corpus,20,1.5,auto,0.5115428156898949
100% Corpus,20,1.75,0.15,0.5194501503957026
100% Corpus,20,1.75,0.2,0.5156594948209364
100% Corpus,20,1.75,0.5,0.4944334009249472
100% Corpus,20,1.75,0.7,0.47309588016914816
100% Corpus,20,1.75,0.9,0.4196789982995338
100% Corpus,20,1.75,1.5,0.34121243219593744
100% Corpus,20,1.75,auto,0.4999363872153798
100% Corpus,20,auto,0.15,0.48762659823115617
100% Corpus,20,auto,0.2,0.4837362517316263
100% Corpus,20,auto,0.5,0.48994789827317586
100% Corpus,20,auto,0.7,0.5065271333636076
100% Corpus,20,auto,0.9,0.5027592136654879
100% Corpus,20,auto,1.5,
100% Corpus,20,auto,auto,0.4536047961452908
100% Corpus,22,0.15,0.15,0.4639040263814753
100% Corpus,22,0.15,0.2,0.47982496280018233
100% Corpus,22,0.15,0.5,0.4649549249402822
100% Corpus,22,0.15,0.7,0.5199854260836392
100% Corpus,22,0.15,0.9,0.5619313963523322
100% Corpus,22,0.15,1.5,0.5137457306692431
100% Corpus,22,0.15,auto,0.47070841712752176
100% Corpus,22,0.2,0.15,0.4601639842599988
100% Corpus,22,0.2,0.2,0.47409373463472293
100% Corpus,22,0.2,0.5,0.5069990695312155
100% Corpus,22,0.2,0.7,0.47918119474677723
100% Corpus,22,0.2,0.9,0.5770798525535903
100% Corpus,22,0.2,1.5,0.5520143215843523
100% Corpus,22,0.2,auto,0.459202624943226
100% Corpus,22,0.5,0.15,0.4790497187758376
100% Corpus,22,0.5,0.2,0.46924373271289493
100% Corpus,22,0.5,0.5,0.5143167258036471
100% Corpus,22,0.5,0.7,0.48867697837016255
100% Corpus,22,0.5,0.9,0.5397610905490066
100% Corpus,22,0.5,1.5,0.503194430244352
100% Corpus,22,0.5,auto,0.47146936614067075
100% Corpus,22,0.6,0.15,0.4966934789678303
100% Corpus,22,0.6,0.2,0.493863177072094
100% Corpus,22,0.6,0.5,0.49512940760711843
100% Corpus,22,0.6,0.7,0.49174409943006475
100% Corpus,22,0.6,0.9,0.5660877677717845
100% Corpus,22,0.6,1.5,0.6703317552577861
100% Corpus,22,0.6,auto,0.4580100061539128
100% Corpus,22,0.7,0.15,0.509247250992896
100% Corpus,22,0.7,0.2,0.503852060620191
100% Corpus,22,0.7,0.5,0.5322774520657947
100% Corpus,22,0.7,0.7,0.6071828656184212
100% Corpus,22,0.7,0.9,0.6019419172922535
