Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,17,0.2,0.7,0.4478319646960388
100% Corpus,17,0.2,0.9,0.5305213343752372
100% Corpus,17,0.2,1.5,0.5275071804887466
100% Corpus,17,0.2,auto,0.4739861519832432
100% Corpus,17,0.5,0.15,0.5083257581921662
100% Corpus,17,0.5,0.2,0.5055551249610818
100% Corpus,17,0.5,0.5,0.4967378346814739
100% Corpus,17,0.5,0.7,0.5065788115660601
100% Corpus,17,0.5,0.9,0.5109816197488507
100% Corpus,17,0.5,1.5,0.5619915471280121
100% Corpus,17,0.5,auto,0.49116653334872495
100% Corpus,17,0.6,0.15,0.5228932616302991
100% Corpus,17,0.6,0.2,0.5162505220079108
100% Corpus,17,0.6,0.5,0.5064943096417518
100% Corpus,17,0.6,0.7,0.4875678211098048
100% Corpus,17,0.6,0.9,0.5050215290879081
100% Corpus,17,0.6,1.5,0.6129200941875441
100% Corpus,17,0.6,auto,0.5093204753135966
100% Corpus,17,0.7,0.15,0.5320455234962677
100% Corpus,17,0.7,0.2,0.5275129481980277
100% Corpus,17,0.7,0.5,0.5412140350241591
100% Corpus,17,0.7,0.7,0.4862153262583005
100% Corpus,17,0.7,0.9,0.612741032664989
100% Corpus,17,0.7,1.5,0.6331283365481976
100% Corpus,17,0.7,auto,0.5252489071093409
100% Corpus,17,0.9,0.15,0.5242152882066847
100% Corpus,17,0.9,0.2,0.5264431736213127
100% Corpus,17,0.9,0.5,0.52346307596251
100% Corpus,17,0.9,0.7,0.5620989201050753
100% Corpus,17,0.9,0.9,0.628390273326412
100% Corpus,17,0.9,1.5,0.525803463279804
100% Corpus,17,0.9,auto,0.5334027646432227
100% Corpus,17,1.5,0.15,0.5584002200934625
100% Corpus,17,1.5,0.2,0.5470401502512208
100% Corpus,17,1.5,0.5,0.5003534399962023
100% Corpus,17,1.5,0.7,0.49377578862063726
100% Corpus,17,1.5,0.9,0.5336252443437501
100% Corpus,17,1.5,1.5,0.4403156917548216
100% Corpus,17,1.5,auto,0.5542740110049659
100% Corpus,17,1.75,0.15,0.5605799541177159
